district,price,GrossSquareMeters,ItemStatus,room,hall
1,415.0,80.0,0,2.0,1.0
1,1000000.0,180.0,0,4.0,2.0
1,530.0,95.0,0,2.0,1.0
1,725.0,102.0,0,2.0,1.0
1,950.0,200.0,0,3.0,2.0
1,690.0,84.0,0,2.0,1.0
1,385.0,60.0,0,2.0,1.0
1,720.0,160.0,0,3.0,1.0
1,725.0,100.0,0,2.0,1.0
1,840.0,140.0,0,3.0,1.0
1,865.0,160.0,0,3.0,2.0
1,665.0,90.0,0,2.0,1.0
1,1025000.0,190.0,0,4.0,2.0
1,730.0,145.0,0,2.0,1.0
1,408.0,85.0,0,2.0,1.0
1,470.0,75.0,0,1.0,1.0
1,1150000.0,200.0,0,4.0,2.0
1,1500000.0,190.0,0,5.0,2.0
1,685.0,100.0,0,2.0,1.0
1,530.0,70.0,0,1.0,1.0
1,670.0,115.0,0,2.0,1.0
1,1700000.0,220.0,0,5.0,2.0
1,685.0,84.0,0,2.0,1.0
1,1350000.0,220.0,0,4.0,2.0
1,1600000.0,240.0,0,4.0,2.0
1,680.0,95.0,0,2.0,1.0
1,900.0,150.0,0,4.0,1.0
1,1075000.0,190.0,0,4.0,2.0
1,645.0,110.0,0,2.0,1.0
1,650.0,90.0,0,2.0,1.0
1,630.0,120.0,0,2.0,1.0
1,680.0,100.0,0,2.0,1.0
1,830.0,135.0,0,2.0,1.0
1,575.0,110.0,0,2.0,1.0
1,475.0,95.0,0,2.0,1.0
1,550.0,90.0,0,2.5,1.0
1,685.0,195.0,0,3.0,2.0
1,550.0,100.0,0,2.0,1.0
1,635.0,120.0,0,2.0,1.0
1,740.0,125.0,0,3.0,1.0
1,700.0,125.0,0,3.0,1.0
1,825.0,125.0,0,3.0,1.0
1,825.0,130.0,0,3.0,1.0
1,540.0,98.0,0,2.0,1.0
1,530.0,105.0,0,2.0,1.0
1,270.0,85.0,0,1.0,1.0
1,960.0,120.0,0,3.0,1.0
1,330.0,90.0,0,1.0,1.0
1,725.0,95.0,0,2.0,1.0
1,840.0,100.0,0,2.0,1.0
1,650.0,180.0,0,3.0,1.0
1,1050000.0,180.0,0,4.0,2.0
1,750.0,120.0,0,3.0,1.0
1,465.0,85.0,0,2.0,1.0
1,750.0,135.0,0,3.0,1.0
1,770.0,145.0,0,3.0,1.0
1,1050000.0,185.0,0,4.0,2.0
1,745.0,110.0,0,2.0,1.0
